GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
user_service,com.capstone.sporting_event.user_service.controller,UserController,5,108,0,0,0,28,1,7,1,7
user_service,com.capstone.sporting_event.user_service.service,UserServiceImpl,0,151,0,14,0,32,0,14,0,7
user_service,com.capstone.sporting_event.user_service.entity,User.UserBuilder,14,49,0,0,0,1,1,8,1,8
user_service,com.capstone.sporting_event.user_service.entity,User,0,70,0,0,0,10,0,15,0,15
